sent0,sent1
"""Devlet kurumlarının etnik köken ve dine karşı aşırı hassasiyete dayalı ""siyasi doğruluk"" nedeniyle bu tür davranışları göz ardı ettiğine dair endişeler mevcuttu.""",State institutions might have overlooked such behavior due to over-zealous political correctness with regards to religion and ethnicity.
Знаеш ли защо се случва това?,Do you know the reason this is happening?
把勺子给我。,Please give to me the spoon.
Είχε όπλο ο Τομ;,Someone asked if Tom had a gun.
Anh ấy là một người rất may mắn.,He has a lucky life.
میرا آج کچھ کھانے کا دل نہیں کر رہا۔,I'm not hungry today.
میں نے اس گیت کا فرانسیسی ورژن سنا ہوا ہے۔,I've heard the song in French before.
पुलिस अफसरों की मानें तो सीमा पर नक्सल ऑपरेशन जारी है।,Police officers stated the Naxal operation had not ended.
"เมื่อรวมกับความเข้าถึงได้ยาก ""Timbuktu"" จึงกลายเป็นคำเปรียบเปรยสำหรับดินแดนที่อยู่ห่างไกลและแปลกใหม่","Timbuktu is a city in Africa, known as a cultural icon of exotic lands."
"""Bolivia มีการเคลื่อนไหว มีจิตวิญญาณของเอกภาพและความสงบเงียบ และแน่นอนเฝ้ามองผลที่จะออกมาด้วยท่าทีคาดหวังที่เป็นบวก "" Roberto Calzadilla เจ้าหน้าที่ทูตชาว Bolivia กล่าว",Bolivia is optimistic about the results.
"""Et, de plus, les loyers actuels n'atteignent toujours pas le niveau nécessaire pour l'entretien simple du fonds pour les logements"", rappelle Pavel Klimes, directeur du portfolio résidentiel de la société RPG Byty, que c'est justement la négligence du fonds pour les logements qui rend le locataire en colère est la raison principale de l'augmentation du loyer.",Pavel Klimes was a director of a portfolio of residential apartments.
"Ncha za vidole lazima zioshwe vizuri pia, kwa kuzisugua kwenye viganja vyote.Kituo cha Kudhibiti na Kuzuia Magonjwa cha Marekani hupendekeza kuosha mikono kuliko kutumia vieuzi, hususan wakati ni wazi kuwa mikono ni chafu.",The CDC prefers that we use hand soap instead of using hand sanitizer.
“汤姆，我得告诉你点事。我爱某个人。他的名字以T开头以M结尾。”“呃，那能是谁？我认识吗？”,"The person's name begins with T and ends with M, and is known to Tom."
بالصّح الكون ما يخلاصش.,The universe goes on forever.
ऐसे में सभी कर्मचारी हादसे के भय में काम करने को मजबूर हैं।,All the employees are afraid to work because of the fear of accidents.
"कैमरून डोरसेन, नेशनल बैंक फाइनेंशियल के साथ एक विश्लेषक शेयर ने गुरुवार को ""मात"" से ""क्षेत्र प्रदर्शन"" के लिए अपनी रेटिंग घटा दी थी स्टॉक अगले एक से या दो तिमाहियों के दौरान ऊपर है सीमित है.",Cameron Doerksen works for National Bank Financial as an analyst.
Συμπλήρωσε τη φράση.,Finish the sentence.
"(D'ailleurs, le fait qu'il traversait la route en dehors du passage pour piétons ne constitue pas une circonstance atténuante, selon le Code de la route une voiture qui amorce un virage doit laisser passer les piétons.)",The fact that there isn't a designated crossing point doesn't excuse drivers for not yielding to pedestrians.
"Ông nói các tiếp viên hàng không đã hoảng hốt và la hét, và ông bị chấn thương nhẹ ở đầu.",The flight attendants were calm and collected when there was a minor injury.
Истинския учен не би изопачил фактите.,A real scientist would not put a twist on facts.
میں نے اس پہ ۱۰ ڈالڑ خرچ کیئے ہے۔,I spent ten dollars on that.
تبغي السرمبق؟,Do you enjoy eating mussels?
"Vieuzi vya mikono vilivyo na alkoholi karibu havifai kabisa dhidi ya virusi aina ya norovirus (au Norwalk), ambavyo ni visababishi vya kawaida zaidi vya ugonjwa wa kuambukizana wa gastroenteritisi.Dawa ya kutosha au kieuzi chenye alkoholi lazima kitumike ipasavyo ili kutia mikono majimaji au kufunika mikono yote.",Hand sanitizers don't really work against norovirus.
"""Et je distribuerai des missions difficiles pour que le football face un grand pas en avant"".",Tasks will be distributed in a way that football will move forward.
"""Сколько за всё?"" - ""Тринадцать долларов"".",The total is thirteen dollars.
"Dubai, Sydney, na Melbourne pia ziliripotiwa kama vituo vipendavyo ya watu wanaosafiri kutoka Wuhan.","Many people in Wuhan also went to Dubai, Sydney and Melbourne."
一般来说，从 A 地直飞 B 地，压根没必要去找商务舱或头等舱的打折机票。,It makes no sense to look for deals on business or first class tickets on direct flights.
"Kwa sasa, hakuna chanjo au tiba maalum ya kukinga virusi vya COVID-19.",There isn't currently a cure for COVID-19.
Anh ấy gặp được một người trẻ tuổi tốt bụng.,He met a good guy.
"""Alors les alarmes se sont succédé, parce que ça prenait du renfort pour attaquer le bâtiment, parce que c'est des bâtiments collés ici "", a expliqué France Loiselle, porte-parole des pompiers de Québec.",The buildings being close together caused the alarms to go off one after another.
والد بوب يعمل في مصنع سيارات.,Bob's dad works in a factory that manufactures cars.
在明天前完成报告几乎是不可能的。,It is extremely difficult to finish the report by tomorrow.
"बोइंग ने एयरबस के सीट माप के आँकड़ो पर विवाद किया , और कहा है की यह निर्माताओं के फैसले पर निर्भर नहीं है की कैसे एयरलाइंस किराए और सुविधाओ के बीच संतुलन बनती है ।.",Airbus gave measurement figures that were disputed by Boeing.
"""Nous sommes satisfaits des avancés atteintes cette nuit, et nous apprécions fortement les efforts des deux partis pour stabiliser nos marchés financiers et pour protéger notre économie"" - a déclaré Tony Fratto, le porte-parole de la Maison Blanche.",Tony Fratto is a White House spokesman.
"Akina mama wanne halisi wanacheza densi katika ghala lililojazwa chakula cha ng’ombe kwa wimbo unaojumuisha maneno kama vile:  ""Naam, mimi hujikamua, lakini huoni mkia"" na ""Ikiwa hujatambua hivi si viwele ni matiti yangu.""","There was a song with the lyrics: ""Yes, I milk myself, but you don't see no tail"" and ""In case you hadn't noticed these are not udders, they're my boobs."" in it."
"""Но всякое может быть"", - сообщил господин Богдановский.",Mr. Bogdanovsky is speaking.
"""C'était une fille battante"".",She was of the fighting variety.
"""Я не встречал никого в российских правоохранительных органах или еще где-либо, кто бы подтвердил существование такой преступной организации"", - цитирует г-на Галеотти американский Центр по исследованию коррупции и организованной преступности.",There is no confirmation that such a criminal organization exists.
"«Некоторые из наших марсианских метеоритов очень хрупкие, а этот мы выбрали именно за то, что он прочный, как старые ботинки».",Martian meteorites are of varying toughness levels.
"Tuy nhiên, ông qua đời do bị bắn tỉa bốn ngày sau đó và bản thân chưa từng biết ông đã giành được huân chương danh dự cao nhất của quân đội Anh.",The man was killed shortly after winning the highest British military honour.
میں ٹام اور مریم کا دوست ہوں۔,Tom and Mary have more than one friend.
"Ông chứng minh cho bồi thẩm đoàn cách thức sử dụng bản ghi di động để tổng hợp quá trình di chuyển của bị cáo Quinton Tellis, 21 tuổi và nạn nhân Jessica Chambers, 19 tuổi vào đêm cô ấy bị chết.",The jury was given a step-by-step explanation of how cellphone records were used to piece together the movements of both the defendant and the victim.
"«@JAL_Official_jp, спасибо, что предупредили, где младенцы планируют орать и вопить на протяжении 13-часового перелета.",Thanks for the heads up about the little ones!
"Kwa sababu ya vizuizi vya uwezo katika msururu wa ugavi wa kawaida, baadhi ya watengenezaji wa kidijitali wanachapisha vifaa vya huduma ya afya kama vile visafisha pua na sehemu za uingizaji wa hewa.",The standard supply chains have capacity limitations.
میں امید کرتا ہوں وہ محفوظ ہوں گے۔,I hope they are okay.
"Pia aliomba kuonyesha bendera ya ISIS katika chumba chake cha hospitali, polisi walisema.","He wanted to have an ISIS flag in his room, according to police."
"ऑस्ट्रेलिया और नेपाल ने वयस्क व्यक्तियों को उनके आधिकारिक दस्तावेजों पर पुरुष, महिला अथवा ""तृतीय लिंग"" चिह्नित करने की अनुमति पहले ही दी गई है।","Australia and Nepal allow people to mark a ""third gender"" on official documents."
"Tôi lấy làm ngạc nhiên về tính chuyên nghiệp và quyết tâm của những đồng nghiệp, những người phải đối mặt với dòng chảy mang theo lạm dụng phân biệt giới tính hoặc phân biệt chủng tộc mỗi ngày nhưng không bao giờ né tránh.","Some of my colleagues are horrible people, spewing racist abuse for no reason."
Programu za mtandaoni zilizoundwa na akili isiyo ya asili zimeundwa kugundua vipengele vya picha za kimatibabu ya virusi na picha za matibabu na CT.,Artificial intelligence has been used to develop new methods to detect the virus.
Tôi biết ơn không sao kể hết.,I don't know how to express my gratitude.
"Geçenlerde Avrupalı diplomat bir ahbabım, bazı üye devletlerin, tamamen kendilerinin sebep olmadığı türlü türlü krizlere batmış AB'de, çoğunu istemedikleri, Britanya'nın sadece kendini düşünen bölücü imtiyazlar ve işleri aksatıcı antlaşma değişiklikleri gündeminden bıktıklarını belirtti.",A European diplomat said member states were fed up with Britain's self-absorbed agenda.
"""Cela aura l'avantage que l'éventuel agresseur ne pourra pas reconnaître l'appareil de traçage"".",The aggressor may not even realize that there is a tracking device on them.
बारिश की वजह से उन्हें खेल रद्द करना पड़ा।,The game was rained out.
"«Прекратите эту политику максимального давления и проводите политику диалога, логики и здравого смысла», – призвал он на пресс-конференции на полях Генеральной Ассамблеи в четверг.",He wants them to stop applying maximum pressure.
今晚给汤姆和玛丽打电话。,Tom and Mary should get a phone call tonight.
"""Nous avons terminé les pourparlers, il ne reste plus qu'à la médiation ougandaise à organiser la signature"", a affirmé Roger Lumbala, vice-président de la délégation du M23, sans que cette information puisse être confirmée immédiatement du côté gouvernemental.",Roger Lumbala said that only the Ugandan mediators need to organize the signing.
Ông ấy đã bị cướp biển cướp bóc bị một con chó dại tấn công ở Tây Tạng thoát khỏi một cuộc hôn nhân ở Nepal và bị bắt ở Ấn Độ.,"He had an eventful life as he was robbed by pirates, attacked by a rabid dog in Tibet, escaped a marriage in Nepal and was arrested in India."
"वेल ने कहा, ""हम प्रत्येक यात्रा में 500 लोगों से मिल रहे हैं।""",Bwelle said that they were receiving 500 people per trip.
"सुश्री कोर्टीन ने कहा, ""इस वर्ष बहुत आंसू बहेंगे।""","There will be many tears this year, according to Ms Corteen."
Студено ли ти е?,Someone is asking if you're cold.
غير أنني على يقين من أنه يجب علينا من أجل المضي قدما أن نعبر بصراحة عما هو في قلوبنا وعما هو لا يقال إلا وراء الأبواب المغلقة,We have to speak our minds if we want to progress.
"""Това е първият ми полет. Нервен съм"", каза Хироши.","""I'm nervous, this is my first flight,"" says Hiroshi."
"Akunjee ""Bu durumun, başkaları için bir mezar taşı ve vasiyet olarak savaş bölgelerine gitmenin gerçekten riskli olduğunu vurgulamasını ve insanların bu seçimi yapma konusunda cesaretini kırmasını umut ediyoruz.""",The only benefit should be to prevent others from going to war.
Μπορείτε να διορθώσετε τις αγγλικές προτάσεις μου;,Please proofread my English sentences.
祝考试好运！,Break a leg on the exam.
وہ انگریزی جرمن لہجہ میں بولتا ہے۔,He speaks English with a noticeable German accent.
"आकाश जायसवाल, विभाग संयोजक एबीवीपी",Akash Jaiswal is the Division Organiser.
Jozi hilo la ajabu kutoka Ulaya lina alama nne kati ya nne na kwa sasa hawajafanya makosa yoyote.,Europe's odd yet cute couple are on a four game winning streak.
کتنی ٹیمیں ہیں؟,There are several teams but I do not know how many specifically.
Kabataş'tan vapur keyfine 2 yıl mola,The ferry makes a stop every 2 years.
你别生我的气啊。,Don't be angry with me.
اسے پتہ ہے کہ شیو کیسے کرتے ہے۔,He knows how to remove his facial hair.
ابذل وسعك في كل شيء .,Always do your best.
"«Не стоит покупать дом, который вам не нравится, потому что дальнейшая перепродажа приведет к большим убыткам», – пояснил он.",He said not to fall in the trap of buying a house you do not really want because changeover costs are high.
Можеш ли да караш?,Are you able to operate a motor vehicle?
"""Y obliga a todos, pequeños y grandes, ricos y pobres, libres y esclavos, a tener una marca en la mano derecha o en la frente, a no poder comprar ni vender, a no ser que lleven el nombre de este monstruo o las cifras de su nombre.",Everyone was forced to have a mark on their right hand or forehead.
برشفة واحدة .,To the bottom!
"Изчакай ме да довърша, моля те.",Please be patient with me.
تاہم، COVID-19 کے حامل ایک امریکی مریض میں رگ میں لگنے والے ٹیکے ریمیٹیسویر کے ساتھ، نیوکلیو ٹائڈ اینا لاگ کو موثر پایا گیا۔,Remdesivir has been used to treat COVID-19 patients.
"Ramirez, ""Meksika'da ölürsünüz çünkü sizi susturmak isterler."" dedi.",Ramirez said that you die in Mexico because they want to silence you.
"Je, unajua mwanamke huyu?",Do you know who this woman is?
不要掉了这个杯子。,Do not let this cup slip from your grasp.
"Интелектуалецът е човек, който казва нещо просто по сложен начин; творецът е човек, който казва нещо сложно по прост начин.",An artist makes complex ideas seem simple.
گیند کو دونوں ہاتھوں سے پکڑو۔,Grip the ball with both of your hands.
"""قسما!"" ""إني لا أصدّقك!""","""I don't think that's true!"" ""I honest!"""
Người Mỹ rất thân thiện và dễ gần.,Americans are easy to talk to.
"""Seçim mahkemesi, Lutfur Rahman ve temsilcisi için yinelenen yolsuzluk ve yasadışı faaliyetler konusunda suçlamaya yer olmadığı yönünde karar verdi"" dedi.",Lutfur Rahman was disqualified by the election court.
آئیے,The person wants someone to come.
Kayak yolunda 14 kişi can verdi,Fourteen people died while en route to ski.
И ти ли говориш френски?,Do you also know how to speak French?
“सभी देश अभी-भी इस वैश्विक महामारी का मार्ग बदल सकते हैं।,Every country has the ability to alter the path of the pandemic.
"""No es el espíritu a la reforma a la ley que haya un bipatidismo eterno en el Congreso"".",Congress has an eternal two-party system.
别怕犯错啊。,"Making mistakes is part of learning, so don't be afraid of them."
ในมาตรฐานเดียวกัน ผู้ชายก็ต้องสวมใส่กางเกงขายาวคลุมเข่า,Men are required to wear trousers that cover their knees.
"""No es, ni mucho menos, mi propio éxito personal, sino que es el resultado del duro trabajo de todo el equipo.""",Everyone contributed to the success.
"Şöyle dedi: ""Biz kovuşturma istiyoruz, biz sonuç istiyoruz, biz yaraların sarılmasını istiyoruz, biz uzlaşma istiyoruz fakat ilk önce adaleti elde etmek zorundayız.""",He said that justice must come before reconciliation.
मैं आपका पासपोर्ट देख सकता हूँ क्या?,Please show me your passport.
"उन्होंने कहा कि ""मुझे बहुत प्रसन्नता है कि सदस्य देश सार्वभौमिक संवहनीय विकास लक्ष्य स्थापित करने हेतु प्रक्रिया आरंभ करने तथा उसका स्वामित्व लेने के लिए सहमत हो गए हैं।""",He said that member states were pleased that they had agreed to launch the process to make the goals.
"Gordon Johndroe โฆษกของบุช เรียกคำปฏิญาณของเกาหลีเหนือว่า ""ก้าวสำคัญสู่เป้าหมายความสำเร็จในการปลดอาวุธนิวเคลียร์ที่สามารถพิสูจน์ได้แห่งคาบสมุทรเกาหลี""",North Korea pledged to denuclearize the Korean peninsula.
Като последна предпазна мярка си пънах и фенерче в раницата.,I packed a flashlight just in case.
"Kutikia tarehe 14 Aprili 2020, programu ilikuwa inasubiri kuidhinishwa na Google Play Store na Appple App Store.","As of the middle of April, the app had not been approved by the Google Play Store."
"""!صرخت قائلة ""النجدة! ساعدوني.",She screamed for help.
"“Шак еще не готов, он на реабилитации”, - сказал Клопп.",Klopp said that Shaq is not yet ready.
Κλείστε τα μάτια σας για τρία λεπτά.,Keep your eyes shut for three minutes.
สมาชิกสมัชชาจะได้รับสิทธ์ออกเสียงขั้นสุดท้าย ซึ่งจะเป็นการตัดสินในหัวข้อคำถามที่ว่า พวกเขาควรได้รับการขนามนามว่าอย่างไร ในการอภิปรายเกี่ยวกับข้อกฎหมายนี้,AMs are going to decide what to call themselves when they debate the legislation.
Tôi không có gì đặc biệt để nói.,I have nothing of import to say.
"Kwa mfanano mkubwa kati ya virusi hivi, inaaminika kwa jumla kwamba WIV1 si virusi vizalishaji vya kati vya SARS-CoV na popo sio wabebaji wa kati wanaohifadhi SARS-CoV.","Despite the large amount of shared information between the two, WIV1 is not thought to be the parent virus of SARS-CoV."
ایک بچہ گُم ہو گیا ہے۔,A child is nowhere to be found.
"""A Gazprom le pagará por la capacidad total, independientemente de la cantidad de gas que realmente se transporte"", precisa Jens Müller.",Gazprom will foot the bill for the entire capacity.
"""Sur la transmission, par exemple, de ce qu'est la culture québécoise, le sentiment d'appartenance, le soutien au personnel dans les transformations qu'on vit, au sein de la clientèle étudiante"", énumère-t-il.",They are going through changes within their student body.
"""Me gustaría que pareciera un monstruo, pero no lo parece"", dijo un familiar de una víctima.",One of the victim's relatives said that the attacker did not look like a monster.
"«Как только появилась эта креветка, в озере внезапно не оказалось естественных очистителей», – сказал Шладов.",There were no longer any natural cleaners in the lake when the shrimp came.
"""Darina y yo nos hablamos con normalidad, lo único es que no compartimos cama, dijo Rychtář.",Rychtář said that he and Darina communicate normally but don't sleep together anymore.
Bạn có thể cho tôi một ví dụ không?,I want an example.
แต่หลังจากการเสียวิกเก็ตของกัปตัน อินเดียทำได้เพียง 36 รัน โดยเสีย 7 วิกเก็ตเพื่อจบอินนิ่ง,India lost 7 wickets and only scored 36 runs.
“เป็นข้อบังคับของทางการที่เวลา 6.00 น. เนื้อหานั้นไม่เหมาะสม พวกเขาจึงต้องเปลี่ยนไปเป็นรายการสำหรับเด็ก” Dave Schwartz รองประธานอาวุโสฝ่ายการตลาดและการสื่อสารของ Bellator กล่าว เมื่อถูกถามเกี่ยวกับการสับเปลี่ยน,There are regulations governing what can be shown at certain times.
Είναι κανείς εδώ;,Is anyone there?
"""Le groupe qui se tenait en coulisses était le mouvement islamique du Turkestan oriental"", a-t-il ajouté, ses propos étant repris par l'agence Chine nouvelle.",The East Turkestan Islamic Movement was the group hiding behind the scenes.
"""En l'état actuel des connaissances, il peut être considéré comme la donnée biométrique ultime"", confirme Sophie Vulliet-Tavernier, directrice des études, de l'innovation et de la prospective à la CNIL.",Biometric data is important.
"""Solo le puso privacidad"".",He made it private.
Може ли да отхапя малко?,"I want to take a bite, is it alright?"
"""J'ai été placée en unité psychiatrique, et lorsque je suis sortie, je me souviens avoir dit à mon commandant ""Ce n'était pas son procès mais le mien"".""","When I got out of the psychiatric unit, I told the officer that was my trial, not his."
"«Привет, это ты?» – «Да, это я».","Someone asked ""Is this you?"" and the other person confirmed it was."
COVID-19 ilipanuka katika makundi hasa katika na karibu na Hubei.,The majority of cases of COVID-19 were in Hubei.
สัตว์ทุกตัวที่มาถึงเกาะนี้แต่เดิมล้วนมาที่นี่ด้วยการว่ายน้ำ บิน หรือลอยน้ำ,"There are only three ways in which animals arrived on the island: swimming, flying, and floating."
"""พวกมันก็แค่ขี้เล่น",The are being playful.
"Σε ό,τι αφορά τη συμβίωση, προφανώς πρέπει να έχουν το δικαίωμα σε αυτή και τα ομόφυλα ζευγάρια.",Gay couples should be able to live together.
"Nous sommes bientôt sans le sou et nous attendons un nouveau logement, au même tarif que l'ancien.",The new house will not change our financial situation.
"मुख्य कार्यकारी अधिकारी फिलिप हरे से उस मामले के बारे में पूछा गया था, जिसमें वाई.एम.सी.ए. के एक कर्मचारी पर बाल पोर्नोग्राफी अपराधों का आरोप लगाया गया था, तथा एक अन्य मामला जिसमें वाई.एम.सी.ए. कैरिंगबाह जिम इंस्ट्रक्टर पर वर्ष 1991 में उसकी देखभाल में रहने वाले बच्चों के विरूद्ध बाल यौन अपराध का आरोप लगाया गया था।",Phillip Hare was questioned about a child pornography case at the YMCA.
为了参加划船比赛，一支新的队伍组成了。,A team was created to participate in the boat race.
هل تسمع ما أقول ؟,Are you listening to me?
لا تقبل بالعالم كما هو.,The world shouldn't be accepted as it is.
"""Les plus grands ennemis de la liberté de la presse ne sont pas les hommes politiques malveillants ou pervers mais les mauvais journalistes à la solde de l'avidité, du chantage et de l'extorsion"", a-t-il déclaré.",Bad journalists are more of a threat to press freedom than politicians.
COVID-19 ilithibitishwa kuenea hadi Korea Kusini mnamo 20 Januari 2020 kutoka Uchina.,South Korea confirmed the spread of COVID-19 in January 2020.
"""Il faut parvenir à la libre circulation des citoyens et des travailleurs dans n'importe quel pays sud-américain, comme c'est déjà le cas pour les membres de la Communauté Andine, mais il reste encore des domaines réactionnaires que nous voulons faire appartenir au passé"" a-t-il averti.",There are people who wish for us to revert to how things were in the past.
"Tuy nhiên, tỷ lệ cử tri chỉ đạt mức 16%, so với 34% trong cuộc bầu cử quốc hội năm ngoái khi có 66% cử tri đăng ký bỏ phiếu.",Turnout was higher in the 2016 election.
Абониран ли си за някакви списания?,Do you get any magazines?
ตามในรายชื่อบันทึกอย่างเป็นทางการ เขาเป็นกรรมการบริษัทของ Adriftmorn Limited,He is the director of Adriftmorn Limited per official records.
"""ความตึงเครียดเพิ่มมากขึ้นเรื่อยๆ""เขากล่าว",He said that the situation was becoming more and more tense.
"Uchunguzi wa matukio 41 ya kwanza ya COVID-19 yaliyodhibitishwa, uliochapishwa mnamo Januari 2020 katika The Lancet, ulionyesha tarehe ya kwanza ambayo dalili zilianza ni 1 Desemba 2019.",There was a study done on the first 41 people who had COVID-19.
Και οι δυο σχεδιάζουμε να είμαστε στο πάρτι σου.,We both intend to attend your party.
"मुख्य न्यायाधीश जॉन रॉबर्ट ने न्यायालय के चार अन्य उदारवादी सदस्यों का समर्थन किया, जबकि अन्य न्यायाधीश स्कैलिया, थॉस, एलिटो तथा केनेडी ने असहमति जतायी।",The nine Justices of the Supreme Court reached a decision.
Nó sống một mình.,He's a loner.
« elle disait « vous devez faire attention à ceci à cela » racontait-il.,He said that she would tell him to be careful with a particular one.
"""Yolculuğumuzda açlık, susuzluk, soğuk ve korkunun yanı sıra çok sayıda karanlık otobüs ve tren yolculukları vardı"" diye yazdı.",She and her companions were hungry and thirsty while travelling by bus and train.
"Може ли да ме запознаеш с адвокат, който говори френски?",I need a lawyer who speaks French.
"Miongoni mwa protini za ufikiaji za SARS-CoV, ORF8 imedhaniwa kuwa muhimu katika kuzoeleka kwa binadamu, kwa kuwa virusi vya SARS-CoV vinavyohusiana na popo vilitolewa lakini vikapatikana kusimba protini tofauti za ORF8.",ORF8 is a protein found in the SARS-CoV virus.
Боб и Том са братя.,Tom and Bob are siblings.
"""Tenez-vous droit!""","""Don't slouch!"""
"«Ее цели – засыпать проблему деньгами и закрыть Америку», – заявил техасский республиканец.",A Texas Republican said that her objectives are shoveling cash at the problem and shutting America down.
Μπορείς να θυμηθείς το όνομά του;,Are you able to recall his name?
Участваха почти всички.,Almost everyone took part.
هل رأيت هذا يا جمال؟,"Did you notice that, Jamal?"
Μιλάς Εβραϊκά;,Can you talk in Hebrew?
مجھے نہیں پتا کہ آپ کہاں جائو گے۔,I don't know where you're going.
هل تستطيع تحمُّل معاملةٍ كهذه من أحد؟,Are you able to put up with people who treat you in that manner?
Ένας άντρας ψάρευε στην απέναντι όχθη.,"On the other side of the river bank, a man was fishing."
"""Nadie quiere que la eurozona siga siendo inestable y turbulenta"", dijo.",Everyone wants the eurozone to be stable.
Ο Μπιν έζησε στη Σινγκαπούρη.,Singapore was home to Bin.
"इस आदेश के बाद भले ही पटाखा व्यापारी खुश हो गए, मगर उनकी खुशियों पर पुलिस ने शुक्रवार को पानी फेर दिया।",The police ruined the joy of the firecracker traders.
"""Normalmente los jóvenes no pueden hacer uso de la experiencia previamente adquirida a la hora de valerse en un accidente, e incluso a la hora de la conducción"", asegura el director en España de la compañía europea, a lo que añade que la mayoría de los accidentes se producen en el segundo año de conducción, una vez pasado ya el 'miedo del novato'.",The director ensures that young people are usually unable to make use of the experience they have.
« Les femmes sont toutes bien préparées et les hommes valent une fortune ».,The women are all perfectly groomed and the men are all extremely wealthy.
过河拆桥。,God is not on the mind when there's danger.
Είστε Καναδές;,Are you from Canada?
"""Πόσα παιδιά έχεις;"" ""Έχω μόνο ένα.""",He said he only has one child.
لا تتحدى من ليس لديه ما يخسره.,A person with nothing to lose is a dangerous person to challenge.
Έχεις πολλούς φίλους;,It is enquired whether the person listening has a lot of friends.
Търсите ли нещо?,The person is looking for something.
क्या मैं कोशिश कर सकता हूं?,I want to test out the limits of it.
Pendekezo kinzani linaunga mkono uunganishaji tena kati ya virusi vya beta-CoV vinavyohusiana na SARS-CoV-2 vilivyopatikana kwa kakakuona na RaTG13 katika aina ya tatu ya wanyama wa porini.,The counter-proposal will allow for recombination between a pangolin and RaTG13 in a third wild animal.
Мислиш ли да дойдеш с нас да пийнем по нещо после?,Will you have a drink with us?
ผู้ใดที่มีข้อมูลกรุณาส่งข้อความโดยตรงมาได้ที่ @MerPolCC หรือโทร 101 หรือติดต่อ Crimestoppers anonymously ที่เบอร์ 0800 555 111 ระบุ log 247 ของวันที่ 30 กันยายน,If you have information you can contact Crimestoppers anonymously.
هل دخلت لحسابك؟,Have you logged in?
"Hàng trăm người bị thương và các bệnh viện hoàn toàn quá tải, sau thiệt hại bởi trận động đất mạnh 7,5 độ richter.",The earthquake measured 7.5 on the Richter scale.
"Sakic ""Patrick bugün beni kararından haberdar etti"" dedi.",Sakic said Patrick had made a decision.
"لہذا، ژو ایٹ آل۔ کے بہاو چارٹ کو تاز کار کرنا چاہیے،کیونکہ انہوں نے طبی علامات کے بغیر فرد کو ""کم خطرے"" میں درجہ بند کیا ہے۔",The flowchart from Zhou is out of date.
Bạn thực sự nghĩ rằng con người một ngày nào đó có thể định cư trên Mặt trăng không?,Do you think humans will live on the Moon in the future?
"""En Canadá se practica la eutanasia, aunque es claramente ilegal"".",Euthanasia is allowed in Canada.
"""Bu vakanın derhal çözülmesini istiyorum ki ileride bir daha olmasın."" dedi.",He wants the case to be solved quickly so it does not happen again.
คำนามทั้งหมดรวมถึงคำว่า Sie ที่แปลว่าคุณ ขึ้นต้นด้วยอักษรพิมพ์ใหญ่เสมอ แม้จะอยู่กลางประโยคก็ตาม,All nouns start with a capital letter.
میں نے ٹام کا کافی دیر انتظار کیا۔,Tom made me wait a long time.
Скоро протестиращата тълпа стана неуправляема.,The mob was unruly after a time.
โจมตี!,The order to attack was given.
"Kufikia 4 Machi 2020 jumla ya uwezekano wa kila siku zilikuwa vipimo 50,000 kila siku.Miundo tofauti yanayopatikana bila malipo yaliyotolewa na Origami Assays zimetolewa na zina uwezo wa kupima kiasi cha sampuli ya wagonjwa 1122 ya COVID19 kwa kutumia vigezo vya vipimo 93 pekee .  Miundo hii yaliyosawazishwa huweza kutumiwa katika maabara ndogo bila kuhitaji matumizi ya roboti kushughulikia maji.",Origami Assays released open source designs for testing COVID19.
Cả hai đều rất dễ thương.,They are both very good looking.
"Pia, rais wa Estonia, Kersti Kaljulaid, alitoa mwito wa suluhu za kiubunifu dhidi ya kuenea kwa virusi vya korona.",Kersti Kaljulaid is the president of Estonia.
Έχετε ένα κόκκινο μολύβι;,Does a red pencil belong to you?
أأنت من نظّم الحفلة؟,Did you plan the party?
مگر بہت بہت مشکل ہے۔,This is very very challenging.
أفعله مباشرة,Do it immediately.
Vema. Ningefurahi sana kama ungeniandikia barua mara tu ufikapo Mwanza.,It would make me very glad to hear from you when you arrive in Mwanza.
"Kwanza, popo wanaweza kuwa wabebaji wahifadhi wa virusi vinavyohusiana na SARS-CoV-2 vinavyokaribia kufanana na SARS-CoV-2.",It is possible that bats carry a SARS-CoV-2 related virus.
Đừng chặt những cây đó.,Please do not chop down those trees.
"“Наблюдая подход президента Трампа к КНДР, я заметил, что его политика и его решения отличают его от предшественников, так что я возлагаю надежду на здравый смысл и решительность президента Трампа”, - сказал он.","According to him, President Trump is different from other presidents before him in terms of politics and decision making."
Τα πυροβολήσατε;,I want to know if you were the shooter.
Một tôn giáo lấy nỗi sợ hãi làm động lực thì không phải là một tôn giáo tốt.,A religion that relies on fear to motivate isn't a good religion.
他是跟他爸爸去杭州的吗？,I'm not sure if he went to Hangzhou with his dad or not.
"Ingawa vilitambuliwa nchini Uholanzi, vilisambaa ulimwenguni.",It is a global distribution despite being identified in Netherlands.
"J'ai choisi une carte de France comme logo, justifie t-il.",He chose a map of France to use as the logo.
เมื่อวันที่ 17 กันยายน 1939 ฝ่ายป้องกันของโปแลนด์ได้แตกพ่าย และความหวังเดียวที่มีคือการถอยกลับและจัดระบบใหม่ตามแนวหัวสะพานโรมาเนีย,"The Polish defense was strong on September 17, 1939."
لليد خمسة أصابع.,The hand is comprised of five fingers.
Lời khuyên của anh ta không giúp được gì nhiều.,His advice was of no help.
